LAST SEEN   TYPE      REASON                  OBJECT                                                      MESSAGE
5m56s       Normal    SuccessfulCreate        replicaset/monitoring-grafana-f9cdb8c45                     Created pod: monitoring-grafana-f9cdb8c45-pfmdm
5m56s       Normal    ScalingReplicaSet       deployment/monitoring-grafana                               Scaled up replica set monitoring-grafana-f9cdb8c45 from 0 to 1
5m56s       Normal    ScalingReplicaSet       deployment/monitoring-kube-prometheus-operator              Scaled up replica set monitoring-kube-prometheus-operator-66c9c9849c from 0 to 1
5m56s       Normal    SuccessfulCreate        daemonset/monitoring-prometheus-node-exporter               Created pod: monitoring-prometheus-node-exporter-zb7bl
5m56s       Normal    SuccessfulCreate        replicaset/monitoring-kube-prometheus-operator-66c9c9849c   Created pod: monitoring-kube-prometheus-operator-66c9c9849c-lsbzg
5m56s       Normal    Pulling                 pod/monitoring-prometheus-node-exporter-s8fqz               Pulling image "swr.cn-north-4.myhuaweicloud.com/cloud_course/node-exporter:v1.11.1"
5m56s       Normal    Scheduled               pod/monitoring-kube-prometheus-operator-66c9c9849c-lsbzg    Successfully assigned monitoring/monitoring-kube-prometheus-operator-66c9c9849c-lsbzg to 192.168.0.221
5m56s       Normal    Scheduled               pod/monitoring-prometheus-node-exporter-s8fqz               Successfully assigned monitoring/monitoring-prometheus-node-exporter-s8fqz to 192.168.0.221
5m56s       Normal    Pulling                 pod/monitoring-prometheus-node-exporter-zb7bl               Pulling image "swr.cn-north-4.myhuaweicloud.com/cloud_course/node-exporter:v1.11.1"
5m56s       Normal    Scheduled               pod/monitoring-prometheus-node-exporter-zb7bl               Successfully assigned monitoring/monitoring-prometheus-node-exporter-zb7bl to 192.168.0.14
5m56s       Normal    SuccessfulCreate        daemonset/monitoring-prometheus-node-exporter               Created pod: monitoring-prometheus-node-exporter-s8fqz
5m56s       Normal    Scheduled               pod/monitoring-grafana-f9cdb8c45-pfmdm                      Successfully assigned monitoring/monitoring-grafana-f9cdb8c45-pfmdm to 192.168.0.14
5m55s       Normal    Pulling                 pod/monitoring-grafana-f9cdb8c45-pfmdm                      Pulling image "swr.cn-north-4.myhuaweicloud.com/cloud_course/k8s-sidecar:2.6.0"
5m54s       Normal    SuccessfulMountVolume   pod/monitoring-prometheus-node-exporter-zb7bl               Successfully mounted volumes for pod "monitoring-prometheus-node-exporter-zb7bl_monitoring(af4fa910-86b5-481f-a8b9-abf6477be1f6)"
5m54s       Normal    SuccessfulCreate        pod/monitoring-prometheus-node-exporter-s8fqz               Container created
5m54s       Normal    Pulled                  pod/monitoring-prometheus-node-exporter-s8fqz               Successfully pulled image "swr.cn-north-4.myhuaweicloud.com/cloud_course/node-exporter:v1.11.1" in 1.406s (1.406s including waiting). Image size: 13307412 bytes.
